Faction,Unit,Tier,Models,BSData_pts,MFM_pts,Difference,Status,Row_type,Wargear_note
Adepta Sororitas,Aestred Thurga And Agathae Dolan,standard,2,70,80,10,increased,unit,
Adepta Sororitas,Arco-Flagellants,standard,3,45,50,5,increased,unit,
Adepta Sororitas,Arco-Flagellants,standard,10,140,140,0,unchanged,unit,
Adepta Sororitas,Battle Sisters Squad,standard,10,105,100,-5,decreased,unit,
Adepta Sororitas,Canoness,standard,1,60,60,0,unchanged,unit,
Adepta Sororitas,Canoness With Jump Pack,standard,1,75,75,0,unchanged,unit,
Adepta Sororitas,Castigator,1st-2nd,1,160,165,5,increased,unit,
Adepta Sororitas,Castigator,3rd+,1,170,175,5,increased,unit,
Adepta Sororitas,Celestian Insidiants,standard,10,120,120,0,unchanged,unit,
Adepta Sororitas,Celestian Sacresants,1st-2nd,5,70,75,5,increased,unit,
Adepta Sororitas,Celestian Sacresants,1st-2nd,10,140,150,10,increased,unit,
Adepta Sororitas,Celestian Sacresants,3rd+,5,85,90,5,increased,unit,
Adepta Sororitas,Celestian Sacresants,3rd+,10,155,165,10,increased,unit,
Adepta Sororitas,Daemonifuge,standard,2,85,85,0,unchanged,unit,
Adepta Sororitas,Dialogus,standard,1,40,40,0,unchanged,unit,
Adepta Sororitas,Dogmata,standard,1,45,45,0,unchanged,unit,
Adepta Sororitas,Dominion Squad,1st-2nd,10,120,100,-20,decreased,unit,
Adepta Sororitas,Dominion Squad,3rd+,10,130,110,-20,decreased,unit,
Adepta Sororitas,Dominion Squad with Meltagun,,,,5,,,wargear,per Meltagun
Adepta Sororitas,Exorcist,1st-2nd,1,210,180,-30,decreased,unit,
Adepta Sororitas,Exorcist,3rd+,1,250,220,-30,decreased,unit,
Adepta Sororitas,Hospitaller,1st-2nd,1,60,75,15,increased,unit,
Adepta Sororitas,Hospitaller,3rd+,1,70,85,15,increased,unit,
Adepta Sororitas,Imagifier,standard,1,65,65,0,unchanged,unit,
Adepta Sororitas,Immolator,standard,1,115,110,-5,decreased,unit,
Adepta Sororitas,Immolator,standard,1,115,120,5,increased,unit,
Adepta Sororitas,Immolator with Twin multi-melta,,,,15,,,wargear,per Twin multi-melta
Adepta Sororitas,Intranzia Fraye,standard,1,150,150,0,unchanged,unit,
Adepta Sororitas,Junith Eruita,standard,1,80,115,35,increased,unit,
Adepta Sororitas,Ministorum Priest,standard,1,50,50,0,unchanged,unit,
Adepta Sororitas,Mortifiers,standard,1,70,70,0,unchanged,unit,
Adepta Sororitas,Mortifiers,standard,2,140,130,-10,decreased,unit,
Adepta Sororitas,Morvenn Vahl,standard,1,185,185,0,unchanged,unit,
Adepta Sororitas,Palatine,standard,1,50,50,0,unchanged,unit,
Adepta Sororitas,Paragon Warsuits,1st-2nd,3,210,180,-30,decreased,unit,
Adepta Sororitas,Paragon Warsuits,3rd+,3,220,190,-30,decreased,unit,
Adepta Sororitas,Paragon Warsuits with Multi-melta,,,,10,,,wargear,per Multi-melta
Adepta Sororitas,Penitent Engines,standard,1,75,70,-5,decreased,unit,
Adepta Sororitas,Penitent Engines,standard,2,150,140,-10,decreased,unit,
Adepta Sororitas,Repentia Squad,standard,5,75,75,0,unchanged,unit,
Adepta Sororitas,Repentia Squad,standard,10,160,160,0,unchanged,unit,
Adepta Sororitas,Retributor Squad,1st-2nd,5,120,105,-15,decreased,unit,
Adepta Sororitas,Retributor Squad,3rd+,5,130,115,-15,decreased,unit,
Adepta Sororitas,Retributor Squad with Multi-melta,,,,5,,,wargear,per Multi-melta
Adepta Sororitas,Saint Celestine,standard,3,150,150,0,unchanged,unit,
Adepta Sororitas,Sanctifiers,standard,9,110,110,0,unchanged,unit,
Adepta Sororitas,Seraphim Squad,1st-2nd,5,80,85,5,increased,unit,
Adepta Sororitas,Seraphim Squad,1st-2nd,10,160,160,0,unchanged,unit,
Adepta Sororitas,Seraphim Squad,3rd+,5,90,95,5,increased,unit,
Adepta Sororitas,Seraphim Squad,3rd+,10,170,170,0,unchanged,unit,
Adepta Sororitas,Sisters Novitiate Squad,standard,10,100,100,0,unchanged,unit,
Adepta Sororitas,Sororitas Rhino,standard,1,75,75,0,unchanged,unit,
Adepta Sororitas,Triumph Of Saint Katherine,standard,1,235,245,10,increased,unit,
Adepta Sororitas,Zephyrim Squad,standard,5,80,80,0,unchanged,unit,
Adepta Sororitas,Zephyrim Squad,standard,10,160,160,0,unchanged,unit,
Adeptus Custodes,Agamatus Custodians,standard,3,225,225,0,unchanged,unit,
Adeptus Custodes,Agamatus Custodians,standard,6,450,450,0,unchanged,unit,
Adeptus Custodes,Aleya,standard,1,65,65,0,unchanged,unit,
Adeptus Custodes,Allarus Custodians,standard,2,110,110,0,unchanged,unit,
Adeptus Custodes,Allarus Custodians,standard,3,165,165,0,unchanged,unit,
Adeptus Custodes,Allarus Custodians,standard,5,275,275,0,unchanged,unit,
Adeptus Custodes,Allarus Custodians,standard,6,330,330,0,unchanged,unit,
Adeptus Custodes,Anathema Psykana Rhino,standard,1,75,75,0,unchanged,unit,
Adeptus Custodes,Aquilon Custodians,standard,3,195,195,0,unchanged,unit,
Adeptus Custodes,Aquilon Custodians,standard,6,390,390,0,unchanged,unit,
Adeptus Custodes,Ares Gunship,1st-2nd,1,580,580,0,unchanged,unit,
Adeptus Custodes,Ares Gunship,3rd+,1,610,610,0,unchanged,unit,
Adeptus Custodes,Blade Champion,1st-2nd,1,120,110,-10,decreased,unit,
Adeptus Custodes,Blade Champion,3rd+,1,135,125,-10,decreased,unit,
Adeptus Custodes,Caladius Grav-Tank,1st-2nd,1,215,210,-5,decreased,unit,
Adeptus Custodes,Caladius Grav-Tank,3rd+,1,230,225,-5,decreased,unit,
Adeptus Custodes,Caladius Grav-Tank with Twin arachnus heavy blaze cannon,,,,15,,,wargear,per Twin arachnus heavy blaze cannon
Adeptus Custodes,Contemptor-Achillus Dreadnought,1st-2nd,1,155,155,0,unchanged,unit,
Adeptus Custodes,Contemptor-Achillus Dreadnought,3rd+,1,170,170,0,unchanged,unit,
Adeptus Custodes,Contemptor-Galatus Dreadnought,1st-2nd,1,165,165,0,unchanged,unit,
Adeptus Custodes,Contemptor-Galatus Dreadnought,3rd+,1,180,180,0,unchanged,unit,
Adeptus Custodes,Coronus Grav-Carrier,1st-2nd,1,200,180,-20,decreased,unit,
Adeptus Custodes,Coronus Grav-Carrier,3rd+,1,220,200,-20,decreased,unit,
Adeptus Custodes,Custodian Guard,standard,4,160,170,10,increased,unit,
Adeptus Custodes,Custodian Guard,standard,4,160,180,20,increased,unit,
Adeptus Custodes,Custodian Guard,standard,5,200,215,15,increased,unit,
Adeptus Custodes,Custodian Guard,standard,5,200,225,25,increased,unit,
Adeptus Custodes,Custodian Guard With Adrasite And Pyrithite Spears,standard,5,250,250,0,unchanged,unit,
Adeptus Custodes,Custodian Guard With Adrasite And Pyrithite Spears,standard,5,250,260,10,increased,unit,
Adeptus Custodes,Custodian Wardens,1st-2nd,4,210,210,0,unchanged,unit,
Adeptus Custodes,Custodian Wardens,1st-2nd,5,260,260,0,unchanged,unit,
Adeptus Custodes,Custodian Wardens,3rd+,4,230,230,0,unchanged,unit,
Adeptus Custodes,Custodian Wardens,3rd+,5,280,280,0,unchanged,unit,
Adeptus Custodes,Knight-Centura,standard,1,55,55,0,unchanged,unit,
Adeptus Custodes,Orion Assault Dropship,1st-2nd,1,690,690,0,unchanged,unit,
Adeptus Custodes,Orion Assault Dropship,3rd+,1,740,740,0,unchanged,unit,
Adeptus Custodes,Pallas Grav-Attack,standard,1,105,100,-5,decreased,unit,
Adeptus Custodes,Prosecutors,standard,4,40,45,5,increased,unit,
Adeptus Custodes,Prosecutors,standard,5,50,50,0,unchanged,unit,
Adeptus Custodes,Prosecutors,standard,9,75,75,0,unchanged,unit,
Adeptus Custodes,Prosecutors,standard,10,85,85,0,unchanged,unit,
